Date,Open,High,Low,Close,Volume,Change,Close_Comparison
2019-04-04,40800,41100,40100,40600,336568,-0.0061199510403916,0
2019-04-05,40850,41400,40400,40500,234328,-0.0024630541871921,0
2019-04-08,40850,41400,40700,40850,229429,0.0086419753086419,1
2019-04-09,40850,40900,39900,40100,269827,-0.018359853121175,0
2019-04-10,40200,40650,40050,40300,129422,0.0049875311720697,1
2019-04-11,40750,41150,40450,41000,248443,0.0173697270471464,1
2019-04-12,41300,41400,40750,41150,167539,0.0036585365853658,1
2019-04-15,41400,41500,40750,41400,231977,0.0060753341433779,1
2019-04-16,41250,42100,41100,41850,272516,0.0108695652173913,1
2019-04-17,42100,42450,41750,41900,177799,0.001194743130227,1
2019-04-18,42150,42150,40900,41200,238743,-0.0167064439140811,0
2019-04-19,41200,41650,40700,41000,97706,-0.0048543689320388,0
2019-04-22,41100,41700,40700,41450,139242,0.0109756097560975,1
2019-04-23,41450,41800,41050,41300,119269,-0.0036188178528346,0
2019-04-24,41100,41400,40600,41000,150178,-0.0072639225181597,0
2019-04-25,40750,41150,40250,40400,173184,-0.0146341463414634,0
2019-04-26,40250,40950,40000,40100,138919,-0.0074257425742574,0
2019-04-29,40200,40450,39850,40350,109532,0.0062344139650871,1
2019-04-30,40250,41900,40250,41350,369722,0.0247831474597273,1
2019-05-02,41350,41800,41050,41500,133133,0.003627569528416,1
2019-05-03,41500,42600,41450,42400,307322,0.0216867469879518,1
2019-05-07,41800,42300,41200,41550,204590,-0.0200471698113207,0
2019-05-08,41100,41500,40550,40600,195688,-0.0228640192539109,0
2019-05-09,40400,40500,38200,38200,565850,-0.0591133004926108,0
2019-05-10,38200,39450,38100,38950,229428,0.0196335078534031,1
2019-05-13,38700,39600,38650,39050,153775,0.0025673940949935,1
2019-05-14,38200,41000,38100,40900,337786,0.0473751600512164,1
2019-05-15,41100,41500,39950,41400,241604,0.0122249388753055,1
2019-05-16,40850,42350,40700,41500,339482,0.002415458937198,1
2019-05-17,41850,42400,40800,40850,232282,-0.0156626506024096,0
2019-05-20,40750,43000,40450,41000,518926,0.0036719706242349,1
2019-05-21,41150,41350,38850,40050,444422,-0.023170731707317,0
2019-05-22,40100,40550,39200,39350,219515,-0.017478152309613,0
2019-05-23,39350,39500,38350,38800,172307,-0.013977128335451,0
2019-05-24,38200,39200,38150,38200,132436,-0.0154639175257731,0
2019-05-27,38000,38400,36000,37600,326473,-0.0157068062827224,0
2019-05-28,37700,38400,37300,37650,164626,0.0013297872340425,1
2019-05-29,37700,38200,36900,37650,162804,0.0,
2019-05-30,40150,43000,38800,42250,1681395,0.1221779548472774,1
2019-05-31,42700,43950,42200,42800,807065,0.0130177514792899,1
2019-06-03,43350,44250,42800,43250,423895,0.0105140186915888,1
2019-06-04,43500,43900,42350,43600,286850,0.0080924855491328,1
2019-06-05,43900,45650,43300,45350,595090,0.0401376146788989,1
2019-06-07,46100,48200,46000,47800,827442,0.054024255788313,1
2019-06-10,48600,48600,46450,47950,432856,0.0031380753138074,1
2019-06-11,48000,48000,46600,46800,366054,-0.0239833159541188,0
2019-06-12,46500,47000,45450,45750,343437,-0.0224358974358974,0
2019-06-13,45950,48000,45950,46750,686445,0.0218579234972677,1
2019-06-14,46300,47400,45450,45800,239202,-0.0203208556149732,0
2019-06-17,45900,46850,45450,45500,190937,-0.0065502183406113,0
2019-06-18,45550,46450,44350,44900,298493,-0.0131868131868131,0
2019-06-19,45600,45600,43900,44200,242528,-0.0155902004454342,0
2019-06-20,44450,46050,43750,44950,448464,0.0169683257918551,1
2019-06-21,44950,45500,43950,44600,335084,-0.0077864293659621,0
2019-06-24,45000,45150,42850,43100,369700,-0.0336322869955156,0
2019-06-25,43100,43450,41200,41850,352065,-0.0290023201856148,0
2019-06-26,41850,42300,41200,41250,201716,-0.014336917562724,0
2019-06-27,42000,42700,41200,41300,318478,0.0012121212121212,1
2019-06-28,41300,41750,40800,41600,148517,0.0072639225181598,1
2019-07-01,41650,41750,39750,40250,435587,-0.0324519230769231,0
2019-07-02,40400,41100,39850,40500,152328,0.0062111801242235,1
2019-07-03,40400,40600,39750,40000,189710,-0.0123456790123457,0
2019-07-04,39850,40700,39400,39650,186319,-0.00875,0
2019-07-05,39900,40250,39300,39800,161749,0.0037831021437579,1
2019-07-08,39600,39850,38350,38500,201769,-0.0326633165829145,0
2019-07-09,38200,38950,37800,37800,191787,-0.0181818181818181,0
2019-07-10,38050,39150,38050,38450,181180,0.0171957671957672,1
2019-07-11,39000,39150,38350,38350,131542,-0.0026007802340701,0
2019-07-12,38550,38750,37850,38200,160964,-0.0039113428943937,0
2019-07-15,38150,38750,37900,38250,111786,0.0013089005235602,1
2019-07-16,37850,38450,37300,37550,226957,-0.0183006535947712,0
2019-07-17,37150,37350,36050,36400,234935,-0.0306258322237017,0
2019-07-18,36100,36400,35550,35900,209171,-0.0137362637362636,0
2019-07-19,35900,36750,35900,36750,147345,0.0236768802228413,1
2019-07-22,36300,36550,34950,35400,344208,-0.036734693877551,0
2019-07-23,35400,36000,35150,35500,153879,0.002824858757062,1
2019-07-24,35550,36500,35300,35950,147211,0.0126760563380281,1
2019-07-25,36400,36400,35000,35150,162655,-0.0222531293463142,0
2019-07-26,35050,35650,34500,35650,148194,0.0142247510668562,1
2019-07-29,35700,35750,33600,33800,230101,-0.0518934081346423,0
2019-07-30,33300,35300,33300,34750,178099,0.0281065088757397,1
2019-07-31,34400,35450,33900,35400,184870,0.018705035971223,1
2019-08-01,33950,34000,31500,32550,1405153,-0.0805084745762712,0
2019-08-02,32050,33100,31750,32400,237947,-0.0046082949308755,0
2019-08-05,32200,32350,28500,29650,778181,-0.0848765432098765,0
2019-08-06,28550,30700,28550,29500,402123,-0.0050590219224283,0
2019-08-07,30150,30350,28600,29800,211864,0.0101694915254237,1
2019-08-08,30100,31400,29900,30850,213452,0.0352348993288591,1
2019-08-09,31050,31700,30350,30650,196928,-0.0064829821717989,0
2019-08-12,30500,30750,29900,30050,104187,-0.0195758564437193,0
2019-08-13,29650,30400,29500,29950,119827,-0.0033277870216306,0
2019-08-14,30350,30350,29550,29800,126966,-0.0050083472454089,0
2019-08-16,28850,28850,27400,28250,396965,-0.0520134228187919,0
2019-08-19,28350,29100,28150,28750,146876,0.0176991150442478,1
2019-08-20,28750,29100,28350,29000,139952,0.0086956521739129,1
2019-08-21,28700,30450,28700,30350,257688,0.0465517241379309,1
2019-08-22,30350,30650,29400,29800,125297,-0.0181219110378912,0
2019-08-23,29000,29550,28550,29000,176244,-0.0268456375838925,0
2019-08-26,28300,28700,27000,27050,286782,-0.0672413793103448,0
2019-08-27,27500,28650,27450,27950,196444,0.0332717190388169,1
2019-08-28,27950,29150,27800,29100,94908,0.0411449016100178,1
2019-08-29,29100,29450,28450,29100,97560,0.0,
2019-08-30,29500,30150,29200,29800,153368,0.0240549828178693,1
2019-09-02,29400,30150,29100,29900,93296,0.0033557046979866,1
2019-09-03,29600,31400,29600,30300,242456,0.0133779264214046,1
2019-09-04,30150,31000,30150,30500,99155,0.0066006600660066,1
2019-09-05,30750,31100,30300,30750,113549,0.0081967213114753,1
2019-09-06,30850,30950,30350,30400,58809,-0.0113821138211381,0
2019-09-09,30300,31100,30250,31050,99198,0.0213815789473683,1
2019-09-10,30950,31900,30550,31750,168011,0.0225442834138487,1
2019-09-11,31750,32750,31500,31650,292518,-0.0031496062992125,0
2019-09-16,31900,32100,31300,31950,120093,0.009478672985782,1
2019-09-17,31850,32200,31450,31700,101494,-0.0078247261345852,0
2019-09-18,31850,32300,31450,32200,162815,0.0157728706624604,1
2019-09-19,32700,32950,31700,31900,196033,-0.0093167701863353,0
2019-09-20,32100,33400,31700,32450,206106,0.0172413793103447,1
2019-09-23,32100,32850,32100,32800,116998,0.0107858243451464,1
2019-09-24,32900,33150,32000,32300,100586,-0.0152439024390244,0
2019-09-25,32100,32450,30850,31150,202635,-0.0356037151702786,0
2019-09-26,31550,33200,31500,32850,244585,0.0545746388443018,1
2019-09-27,32900,34150,32650,33450,214357,0.0182648401826484,1
2019-09-30,33250,34200,32900,33300,156819,-0.0044843049327354,0
2019-10-01,34000,35250,33600,35250,368827,0.0585585585585586,1
2019-10-02,35050,35500,34600,34600,207707,-0.0184397163120567,0
2019-10-04,34650,34800,33750,34150,132440,-0.0130057803468207,0
2019-10-07,34500,35600,34150,35500,169689,0.0395314787701317,1
2019-10-08,35050,35350,34200,35050,181096,-0.0126760563380281,0
2019-10-10,34750,35000,34250,34300,96042,-0.021398002853067,0
2019-10-11,34700,35350,34350,34450,95635,0.0043731778425655,1
2019-10-14,34500,39550,34500,37250,1434903,0.0812772133526851,1
2019-10-15,36900,39000,36700,37150,853481,-0.0026845637583892,0
2019-10-16,37000,37350,35450,35650,520837,-0.0403768506056527,0
2019-10-17,36150,36550,35750,36000,189903,0.0098176718092566,1
2019-10-18,36300,36450,35150,35300,160072,-0.0194444444444444,0
2019-10-21,35400,35650,34750,34750,148016,-0.0155807365439093,0
2019-10-22,35000,35700,34650,35650,202011,0.0258992805755395,1
2019-10-23,35650,35700,34950,35700,130633,0.0014025245441795,1
2019-10-24,35600,36000,34950,36000,225794,0.0084033613445377,1
2019-10-25,36100,36200,35050,35300,183774,-0.0194444444444444,0
2019-10-28,35450,35950,35150,35400,153589,0.0028328611898016,1
2019-10-29,35600,35950,35050,35700,218014,0.0084745762711864,1
2019-10-30,36200,38350,36050,37050,825707,0.0378151260504202,1
2019-10-31,37200,37450,36400,37100,228730,0.001349527665317,1
2019-11-01,37100,37700,36750,37400,163793,0.0080862533692722,1
2019-11-04,37900,38300,37400,37800,177159,0.0106951871657754,1
2019-11-05,38150,38550,37600,38450,171741,0.0171957671957672,1
2019-11-06,38200,38800,38150,38300,186258,-0.0039011703511053,0
2019-11-07,38300,38500,37600,38350,123142,0.0013054830287206,1
2019-11-08,38400,39500,37900,38150,222197,-0.0052151238591916,0
2019-11-11,38300,39500,38250,39400,275477,0.0327653997378767,1
2019-11-12,39300,39300,37950,38500,178638,-0.0228426395939086,0
2019-11-13,38000,38300,36900,36950,193036,-0.0402597402597402,0
2019-11-14,37100,39400,37050,39400,258841,0.0663058186738836,1
2019-11-15,39400,39500,38550,39100,137021,-0.0076142131979695,0
2019-11-18,39200,39950,38800,39650,283617,0.0140664961636829,1
2019-11-19,39950,40100,39200,39300,148366,-0.008827238335435,0
2019-11-20,39600,39900,38200,39000,148251,-0.0076335877862595,0
2019-11-21,39300,39300,37200,38000,282346,-0.0256410256410256,0
2019-11-22,38400,38500,37550,38050,95075,0.0013157894736841,1
2019-11-25,38350,39300,38250,38550,160546,0.0131406044678055,1
2019-11-26,38600,38750,37950,38000,136957,-0.0142671854734111,0
2019-11-27,38000,38750,37800,37950,107835,-0.0013157894736841,0
2019-11-28,37850,37850,36500,36900,213912,-0.0276679841897232,0
2019-11-29,37100,38900,37000,38400,407212,0.0406504065040651,1
2019-12-02,38450,39100,37800,38300,189631,-0.0026041666666666,0
2019-12-03,38200,38200,36050,36700,452734,-0.04177545691906,0
2019-12-04,36150,36850,36150,36750,131510,0.0013623978201635,1
2019-12-05,36800,37400,36600,36950,195366,0.0054421768707482,1
2019-12-06,37150,37450,36650,37100,154609,0.0040595399188092,1
2019-12-09,37100,37400,36700,37050,87932,-0.0013477088948786,0
2019-12-10,36700,37050,36050,36200,173655,-0.0229419703103913,0
2019-12-11,36300,36850,36100,36200,123922,0.0,
2019-12-12,36100,36800,36100,36600,200440,0.011049723756906,1
2019-12-13,37100,37600,36800,37000,147529,0.0109289617486338,1
2019-12-16,37000,37050,36400,36600,108203,-0.0108108108108108,0
2019-12-17,36700,37200,36500,37050,125062,0.0122950819672131,1
2019-12-18,36750,37250,36550,36950,99323,-0.0026990553306343,0
2019-12-19,36950,37200,36700,37050,82099,0.0027063599458727,1
2019-12-20,37250,37300,36800,37100,75922,0.001349527665317,1
2019-12-23,37050,37550,36200,36700,188356,-0.0107816711590296,0
2019-12-24,36650,37050,35850,36200,172027,-0.0136239782016348,0
2019-12-26,36300,37200,35950,37200,204207,0.0276243093922652,1
2019-12-27,37350,38150,36950,37750,181084,0.0147849462365592,1
2019-12-30,37500,38550,37450,38450,151813,0.0185430463576159,1
2020-01-02,38700,38700,37500,37950,152452,-0.0130039011703511,0
2020-01-03,38000,38000,36800,37200,298101,-0.0197628458498023,0
2020-01-06,37200,37200,35150,35300,308017,-0.0510752688172042,0
2020-01-07,35500,36350,35500,36200,200976,0.0254957507082151,1
2020-01-08,35800,35900,34850,35100,189018,-0.0303867403314916,0
2020-01-09,35700,36400,35650,36400,153677,0.0370370370370369,1
2020-01-10,36150,36300,34850,35650,448684,-0.0206043956043956,0
2020-01-13,36300,39350,36200,38850,1193705,0.0897615708274894,1
2020-01-14,38850,39200,37850,38050,419028,-0.0205920205920205,0
2020-01-15,38000,38250,37250,37700,325639,-0.0091984231274638,0
2020-01-16,38000,38050,37200,37800,223948,0.0026525198938991,1
2020-01-17,37600,38150,37450,37700,142972,-0.0026455026455026,0
2020-01-20,38000,39000,37450,37900,359765,0.0053050397877985,1
2020-01-21,37900,37900,35850,36000,463535,-0.050131926121372,0
2020-01-22,35850,36750,35750,36500,217951,0.0138888888888888,1
2020-01-23,36050,36350,35850,36000,125313,-0.0136986301369863,0
2020-01-28,32450,33800,32050,32900,467470,-0.0861111111111111,0
2020-01-29,32900,34200,32900,33600,229544,0.0212765957446807,1
2020-01-30,33150,34250,33150,33650,149732,0.0014880952380953,1
2020-01-31,33850,34000,32850,32850,169043,-0.0237741456166419,0
2020-02-03,31950,33400,31650,33250,206850,0.0121765601217656,1
2020-02-04,33600,34250,33100,33950,129255,0.0210526315789474,1
2020-02-05,34100,34550,33300,33850,114271,-0.0029455081001472,0
2020-02-06,34050,34400,33600,34350,119666,0.0147710487444607,1
2020-02-07,34400,34800,33750,33950,135472,-0.0116448326055312,0
2020-02-10,33750,33800,33200,33500,118403,-0.0132547864506626,0
2020-02-11,33750,34400,33700,34100,90638,0.0179104477611939,1
2020-02-12,34050,34250,33650,34250,103832,0.0043988269794721,1
2020-02-13,34350,34350,33850,34000,127585,-0.0072992700729926,0
2020-02-14,34250,34250,33600,33950,101552,-0.0014705882352941,0
2020-02-17,34000,34250,33300,34050,115207,0.0029455081001472,1
2020-02-18,33950,34050,33300,33400,110105,-0.0190895741556534,0
2020-02-19,33650,33750,32850,33100,101171,-0.0089820359281437,0
2020-02-20,33200,33300,32350,32550,110985,-0.0166163141993958,0
2020-02-21,32150,32400,31400,31500,117481,-0.032258064516129,0
2020-02-24,30600,30950,29900,30000,193382,-0.0476190476190476,0
2020-02-25,29750,31550,29700,31550,163372,0.0516666666666667,1
2020-02-26,30650,31950,30650,31050,158711,-0.0158478605388272,0
2020-02-27,31000,31600,29900,30100,208771,-0.0305958132045088,0
2020-02-28,29600,29950,28000,28450,332874,-0.0548172757475082,0
2020-03-02,28050,29800,28050,29700,201929,0.0439367311072056,1
2020-03-03,30300,30650,29400,29600,167701,-0.0033670033670033,0
2020-03-04,29600,30000,29400,29750,124830,0.0050675675675675,1
