Date,Open,High,Low,Close,Volume,Change,Close_Comparison
2019-03-06,187996,188439,184893,187112,492869,0.0047684508978433,1
2019-03-07,185778,187109,181789,183564,446415,-0.0189619051690965,0
2019-03-08,182675,185335,182232,182678,367451,-0.0048266544638382,0
2019-03-11,182232,183119,179572,181791,336742,-0.0048555381600411,0
2019-03-12,182675,185779,182232,185338,454516,0.0195114169568351,1
2019-03-13,185335,186222,183563,184008,312910,-0.0071760783001867,0
2019-03-14,185779,185779,179129,182678,789291,-0.0072279466110168,0
2019-03-15,181789,181789,178242,180017,597909,-0.0145666144801235,0
2019-03-18,179572,181345,178242,178244,412819,-0.0098490698100734,0
2019-03-19,178685,181789,178685,180017,315290,0.0099470388905096,1
2019-03-20,180459,180901,177356,178244,402946,-0.0098490698100734,0
2019-03-21,177798,179571,177798,177801,344191,-0.0024853571508718,0
2019-03-22,177797,178684,176468,176914,306381,-0.0049887233480127,0
2019-03-25,176025,177797,174695,175584,302975,-0.0075177769989938,0
2019-03-26,176025,176468,170261,170705,1062908,-0.027787269910698,0
2019-03-27,171147,172034,161393,162281,1750867,-0.049348290911221,0
2019-03-28,160062,164496,158289,160065,1117008,-0.013655326255076,0
2019-03-29,160062,163166,158732,160508,881262,0.0027676256520787,1
2019-04-01,160062,163166,159619,161395,480257,0.0055262043013433,1
2019-04-02,162723,168931,162723,168490,753994,0.0439604696551938,1
2019-04-03,168931,172920,166714,171593,567455,0.0184165232358004,1
2019-04-04,172035,172921,170261,170705,304682,-0.0051750362777036,0
2019-04-05,170705,172034,168044,170263,281181,-0.0025892621774405,0
2019-04-08,172035,173364,170261,173367,415518,0.0182306196883643,1
2019-04-09,176911,182674,176025,181347,1157315,0.0460295211891537,1
2019-04-10,182232,186222,180015,182235,798510,0.004896689771543,1
2019-04-11,183119,186666,182232,186669,733952,0.0243312206765988,1
2019-04-12,185336,187109,182232,185338,349519,-0.007130268014507,0
2019-04-15,185779,186223,179572,180460,558733,-0.0263194811641434,0
2019-04-16,179572,185335,178242,184451,438600,0.0221157043112047,1
2019-04-17,184893,187109,183563,184894,356282,0.0024017218665119,1
2019-04-18,184893,185336,179129,180460,473966,-0.0239813082090278,0
2019-04-19,181345,195089,180902,193319,1460741,0.0712567882079131,1
2019-04-22,193760,198636,193316,195536,996100,0.0114680915998943,1
2019-04-23,196864,199081,191986,196424,709250,0.0045413632272317,1
2019-04-24,197750,198193,193317,193319,508856,-0.0158076406141816,0
2019-04-25,191543,194203,186223,187555,599677,-0.0298160036002669,0
2019-04-26,186666,190214,185779,187999,412316,0.0023673055903601,1
2019-04-29,189327,191986,187996,191545,308535,0.018861802456396,1
2019-04-30,191543,191543,187553,187999,327911,-0.0185126210551045,0
2019-05-02,187995,187995,183562,183564,528225,-0.0235905510135692,0
2019-05-03,183562,184005,179572,181347,487683,-0.0120775315421324,0
2019-05-07,178242,184892,178242,182235,473308,0.004896689771543,1
2019-05-08,179572,183562,179572,182235,368137,0.0,
2019-05-09,185336,188882,184450,186224,1051960,0.0218893187367958,1
2019-05-10,185335,185335,176025,178687,787711,-0.04047276398316,0
2019-05-13,177355,180015,171591,172481,624700,-0.03473112201783,0
2019-05-14,170705,176910,170705,173367,563242,0.0051367976762657,1
2019-05-15,175138,176024,173364,173810,400592,0.0025552729181448,1
2019-05-16,175139,179129,172921,174253,476645,0.002548760140383,1
2019-05-17,177355,179128,172921,173367,302120,-0.0050845609544742,0
2019-05-20,173364,175139,165827,166715,614501,-0.0383694705451441,0
2019-05-21,162279,164939,160062,160508,1337314,-0.0372312029511441,0
2019-05-22,161837,164496,161837,163612,593683,0.019338599945174,1
2019-05-23,164051,164496,159619,160065,622752,-0.0216793389237953,0
2019-05-24,159176,161835,157846,160508,442578,0.0027676256520787,1
2019-05-27,160949,161392,152525,154301,843972,-0.0386709696712936,0
2019-05-28,154298,164939,154298,164942,1051542,0.068962612037511,1
2019-05-29,164939,165827,161393,164498,646695,-0.0026918553188393,0
2019-05-30,164496,165826,161393,164942,485290,0.0026991209619569,1
2019-05-31,164052,171590,163610,168490,753372,0.0215105916018965,1
2019-06-03,168044,171148,166271,171149,568021,0.0157813520090213,1
2019-06-04,172035,174694,169373,173367,466098,0.0129594680658373,1
2019-06-05,176024,176024,172921,173810,333889,0.0025552729181448,1
2019-06-07,174251,174695,172477,174253,286270,0.002548760140383,1
2019-06-10,175581,176468,173807,176026,335440,0.0101748606910641,1
2019-06-11,176025,180014,175581,179130,426772,0.0176337586492905,1
2019-06-12,180015,181345,178242,180904,354594,0.0099034220956846,1
2019-06-13,181345,183562,180902,183564,575519,0.0147039313669128,1
2019-06-14,183119,183119,177356,178244,473494,-0.028981717548103,0
2019-06-17,178242,182232,176911,181791,368264,0.0198996880680415,1
2019-06-18,181789,186223,181345,184451,490241,0.0146321875120329,1
2019-06-19,186666,187996,185336,187555,430265,0.0168283175477497,1
2019-06-20,188440,189770,187553,189772,350320,0.0118205326437579,1
2019-06-21,190214,190657,186223,188441,948556,-0.0070136795733828,0
2019-06-24,188440,189769,184006,184894,393133,-0.0188228676349626,0
2019-06-25,184450,185335,180902,184451,432388,-0.0023959674191699,0
2019-06-26,184450,187553,182232,186669,345781,0.0120248738147259,1
2019-06-27,184005,185335,180015,180904,687442,-0.0308835425271469,0
2019-06-28,180015,182675,178685,182235,320122,0.0073574934772033,1
2019-07-01,182675,185335,181345,184451,430476,0.01216012291821,1
2019-07-02,183562,185335,181345,181791,248365,-0.0144211741871824,0
2019-07-03,182232,184450,181345,182678,214529,0.0048792294448019,1
2019-07-04,182232,183119,179572,180460,335629,-0.0121415824565629,0
2019-07-05,180460,184450,180460,184451,295939,0.0221157043112047,1
2019-07-08,184006,185779,182232,182678,395271,-0.0096123089601032,0
2019-07-09,181789,182674,163167,170705,1662064,-0.0655415539911757,0
2019-07-10,171590,172921,166271,167602,728525,-0.0181775577751091,0
2019-07-11,168044,171148,166714,169819,847755,0.0132277657784514,1
2019-07-12,168930,169372,166271,167159,396471,-0.0156637360954898,0
2019-07-15,167600,168930,160506,162725,710198,-0.0265256432498399,0
2019-07-16,161837,169372,161837,167159,605657,0.0272484252573359,1
2019-07-17,167600,168043,161837,163612,530640,-0.0212193181342315,0
2019-07-18,161835,163609,159176,160065,646130,-0.0216793389237953,0
2019-07-19,160062,164052,160062,163612,511737,0.0221597476025363,1
2019-07-22,164496,166270,163167,163612,305344,0.0,
2019-07-23,163609,164051,160506,161395,401080,-0.0135503508300124,0
2019-07-24,161836,162279,157846,159621,525853,-0.0109916664085009,0
2019-07-25,158732,160061,156517,157847,580938,-0.0111138258750415,0
2019-07-26,156959,164939,156959,164056,657375,0.0393355591173731,1
2019-07-29,162722,163609,158732,158735,489273,-0.0324340469108109,0
2019-07-30,159175,162722,156959,156961,569963,-0.0111758591362963,0
2019-07-31,156072,156517,146761,151196,1522230,-0.0367288689547085,0
2019-08-01,150308,155628,150308,151196,782189,0.0,
2019-08-02,149421,151195,144101,144989,1406244,-0.0410526733511468,0
2019-08-05,141883,143657,129025,129028,3497991,-0.1100842132851457,0
2019-08-06,122374,137449,121931,129914,3864139,0.0068667266019779,1
2019-08-07,133459,135676,129470,131688,1398128,0.0136551872777375,1
2019-08-08,133459,136563,133016,136565,1215587,0.0370345058015917,1
2019-08-09,137894,140996,137006,137895,893974,0.009738952147329,1
2019-08-12,137449,139222,134345,137451,615517,-0.0032198411835091,0
2019-08-13,135676,137893,134790,135678,440310,-0.0128991422397799,0
2019-08-14,141439,141439,136119,136122,684699,0.0032724538982,1
2019-08-16,135233,137006,133016,136565,467726,0.0032544335228692,1
2019-08-19,137006,138779,134790,135678,373825,-0.0064950756050232,0
2019-08-20,136118,137449,134789,137451,373049,0.0130677044178126,1
2019-08-21,137449,142326,137006,138782,669027,0.0096834508297503,1
2019-08-22,139223,140108,134790,135234,561506,-0.0255652750356674,0
2019-08-23,132571,135675,132127,134347,487051,-0.0065590014345504,0
2019-08-26,130799,132573,124591,125479,1320083,-0.0660081728657878,0
2019-08-27,129025,131242,127252,128583,834061,0.024737207022689,1
2019-08-28,128583,138780,127694,138338,1251210,0.075865394336732,1
2019-08-29,138780,143212,137006,139225,1148834,0.0064118318900086,1
2019-08-30,142326,142770,138780,139225,566848,0.0,
2019-09-02,138337,140996,135233,138782,428600,-0.0031818998024779,0
2019-09-03,138780,144543,138780,142329,905714,0.0255580694902797,1
2019-09-04,141883,148977,141883,148537,913408,0.0436172529842828,1
2019-09-05,149863,150750,144544,145433,729477,-0.0208971502049993,0
2019-09-06,146317,147205,143658,146763,400301,0.0091451046186217,1
2019-09-09,148534,148534,146317,147206,360640,0.0030184719581911,1
2019-09-10,147647,148977,145874,146320,366487,-0.0060187764085702,0
2019-09-11,147647,151637,147205,149868,1122220,0.0242482230727172,1
2019-09-16,150308,151638,147647,151196,644741,0.0088611311287265,1
2019-09-17,151195,154741,149864,151641,824385,0.0029431995555437,1
2019-09-18,152968,155627,152525,153857,622051,0.0146134620584141,1
2019-09-19,154741,155184,148092,149423,864760,-0.0288189682627374,0
2019-09-20,149864,156072,149864,155631,671544,0.0415464821346112,1
2019-09-23,156516,156516,149864,151641,997720,-0.0256375657805963,0
2019-09-24,149421,151194,147205,149423,930836,-0.0146266511035934,0
2019-09-25,149420,151637,146761,147650,663352,-0.0118656431740762,0
2019-09-26,148534,150751,146761,148092,454996,0.0029935658652218,1
2019-09-27,149421,149864,146317,147206,299369,-0.0059827674688707,0
2019-09-30,147647,148091,142327,145433,580623,-0.0120443460185046,0
2019-10-01,149864,154741,147647,153857,1390174,0.057923579930277,1
2019-10-02,152525,156516,151638,152971,693143,-0.0057585940191215,0
2019-10-04,152968,154742,151638,153413,485530,0.0028894365598708,1
2019-10-07,154298,159175,153413,158291,793201,0.0317965231108186,1
2019-10-08,159176,161393,155628,160065,703598,0.0112072069795503,1
2019-10-10,158732,161392,157402,160508,685014,0.0027676256520787,1
2019-10-11,161393,164051,159619,160951,572955,0.0027599870411443,1
2019-10-14,163166,163166,160062,161838,368585,0.0055109940292386,1
2019-10-15,161393,163167,160062,162725,284032,0.0054807894314066,1
2019-10-16,165384,166714,163610,165829,503637,0.0190751267475803,1
2019-10-17,167156,168487,165384,166715,436184,0.0053428531800832,1
2019-10-18,166713,167155,160506,160951,490707,-0.0345739735476712,0
2019-10-21,160506,163609,158289,161395,429638,0.0027586035501487,1
