Date,Open,High,Low,Close,Volume,Change,Close_Comparison
2019-01-02,46700,46900,45600,45950,636199,-0.0118279569892473,
2019-01-03,46600,46800,46200,46450,1275976,0.0108813928182807,1
2019-01-04,46500,46600,45600,45650,784105,-0.0172228202368137,0
2019-01-07,45800,46650,45450,45450,957133,-0.004381161007667,0
2019-01-08,45900,45950,45300,45500,868450,0.001100110011001,1
2019-01-09,46050,46650,45800,46450,885435,0.0208791208791208,1
2019-01-10,46500,46500,45500,45500,1195029,-0.0204520990312163,0
2019-01-11,45550,46100,45150,45350,1077396,-0.0032967032967032,0
2019-01-14,45450,45850,44400,44550,1189035,-0.0176405733186328,0
2019-01-15,45000,46750,44800,46750,1317274,0.0493827160493827,1
2019-01-16,46900,47700,46450,47450,1091289,0.0149732620320854,1
2019-01-17,47800,47850,47050,47600,1035554,0.0031612223393044,1
2019-01-18,47350,47400,46550,46700,1054443,-0.0189075630252101,0
2019-01-21,46500,46700,46000,46100,1451479,-0.012847965738758,0
2019-01-22,45600,45800,45300,45750,1365448,-0.0075921908893709,0
2019-01-23,45850,45850,45100,45350,1495271,-0.008743169398907,0
2019-01-24,45200,46100,45150,45900,1454749,0.0121278941565601,1
2019-01-25,45950,46300,45400,46300,1134097,0.0087145969498909,1
2019-01-28,46300,46500,45800,45800,1176898,-0.0107991360691144,0
2019-01-29,45800,46150,45600,46100,833608,0.0065502183406114,1
2019-01-30,46400,46650,45700,46650,1168147,0.0119305856832971,1
2019-01-31,47100,48900,46800,48050,2272775,0.030010718113612,1
2019-02-01,48300,49200,47850,48600,1588876,0.0114464099895941,1
2019-02-07,48350,48900,47800,48050,1043128,-0.0113168724279835,0
2019-02-08,47750,48800,47750,48100,1085970,0.0010405827263266,1
2019-02-11,47150,47250,46250,46350,1812863,-0.0363825363825364,0
2019-02-12,46000,46150,45350,45500,2051271,-0.0183387270765911,0
2019-02-13,45700,46250,45500,46150,1225411,0.0142857142857142,1
2019-02-14,46050,46300,45800,46200,1523586,0.0010834236186347,1
2019-02-15,45900,46200,45600,46000,909332,-0.0043290043290042,0
2019-02-18,46050,46450,46000,46100,1069309,0.0021739130434783,1
2019-02-19,46100,46300,45600,46050,949358,-0.0010845986984815,0
2019-02-20,45650,46000,45400,45850,2147317,-0.004343105320304,0
2019-02-21,45600,46000,45550,45550,1304635,-0.0065430752453653,0
2019-02-22,45250,45700,45050,45650,1224088,0.0021953896816684,1
2019-02-25,45300,45950,45300,45900,1144645,0.0054764512595837,1
2019-02-26,45700,45850,45200,45200,1247125,-0.0152505446623093,0
2019-02-27,45000,45200,44600,44650,1848899,-0.0121681415929203,0
2019-02-28,44650,44950,44350,44350,2287543,-0.0067189249720044,0
2019-03-04,44700,44700,43000,43050,3209919,-0.0293122886133032,0
2019-03-05,43150,43600,42900,43150,1986371,0.0023228803716608,1
2019-03-06,43100,43400,42600,43000,1435691,-0.0034762456546929,0
2019-03-07,43000,43400,42850,43100,1559210,0.0023255813953488,1
2019-03-08,42750,42750,42100,42150,1537928,-0.0220417633410673,0
2019-03-11,42300,43000,42050,42700,1034318,0.0130486358244366,1
2019-03-12,42600,43300,42400,42950,1133832,0.005854800936768,1
2019-03-13,42750,42950,41800,42200,1362044,-0.0174621653084982,0
2019-03-14,42500,43100,42350,42650,2739374,0.0106635071090046,1
